text,top_keywords,keyword_scores,predicted_label
Recebi no prazo e a mercadoria sem defeito,"##ito, defe, ##ia","0.9246, 0.4198, 0.3839",positive
Produto muito bom transportadora sem palavras Entregaram muito rápido,"transpor, bom, Entre","0.2039, 0.1587, 0.1306",positive
O produto ainda negação foi entregue Aguardo contato do SAC,"contato, ##ardo, Agu","0.3004, 0.2665, 0.199",negative
Tudo ol,"ol, Tudo","0.5305, 0.0606",positive
Fornecedor honesto pontual mercadoria de ótima qualidade Recomendo a todos,"qualidade, ##ne, Rec","0.0836, 0.0782, 0.0742",positive
Produto veio corretamente em um prazo muito rápido Indico mil vezes,"Ind, muito, em","0.1654, 0.1388, 0.1322",positive
tive q passar a manha no correio mas ta ok,"##e, o, ta","0.2857, 0.2494, 0.2407",positive
,,,positive
Chegou antes do prazo bem embalado igual do anuncio Recomendo,"antes, bem, do","0.0892, 0.0842, 0.079",positive
Muito bom esse produto,"bom, esse, produto","0.2918, 0.2584, 0.2098",positive
Excelente vendedor rápido no envio do produto com certeza farei mais compras neste vendedor,"##ente, vende, no","0.2364, 0.1387, 0.0802",positive
As tesouras vieram soltas na bolsinha então ficaram arranhadas mas as tesouras são muito boas só mesmo acho que colocar algo pra elas negação caírem e uma esponja entre elas pra negação ter arranhões,"só, que, mesmo","0.2913, 0.2206, 0.2187",positive
Quero saber o que aconteceu com a minha entrega o prazo ja passou e negação tive satisfacao dos responsaveis,"##ca, o, tiv","0.0793, 0.0769, 0.0689",negative
ótimo produto de qualidade fácil instalação e com proteção de qualidade IP numero,"produto, instalação, numer","0.1247, 0.0786, 0.0742",positive
É uma loja de confiança compro há muitos anos,"compro, há, de","0.3743, 0.2989, 0.2559",positive
muito bom chegou tudo direitinho Obrigada,"bom, chegou, ##da","0.1631, 0.1607, 0.1602",positive
Escolhi a luminária comprei e como é usual já esperava receber no prazo máximo Na verdade achei que era até um engano quando recebi poucos dias depois da compra e tudo conforme combinado no pedido,"##o, ##l, ac","0.9658, 0.7079, 0.5087",negative
Recebi a cortina está como pedi mas ainda negação instalei,"instal, ##ei, ##bi","0.4113, 0.3925, 0.3807",positive
Previsto para chegar numero numero mas já está em minhas mãos Apesar de achar que eles jogam o prazo lá pra cima foi tudo realmente rápido pois entre o pedido e a entrega foram exatamente numero dias,"de, rápido, pois","0.302, 0.2492, 0.2139",positive
stark Excelente já o produto adquirido esse boneco do autêntic games um belo lixo numero conto em um boneco de pano frágil e sem graça,"##ente, numer, esse","1.0963, 0.8696, 0.8557",positive
Adoreiii numero,"##rei, ##ii, numer","0.2396, 0.183, 0.1541",positive
demora na entrega do produto,"##ra, do, na","0.4403, 0.2769, 0.2232",negative
Produto original é um ótimo atendimento,"atendimento, é, ##to","0.456, 0.4302, 0.1957",positive
nada a acrecentar,"##enta, a, ##rec","1.5876, 1.0475, 0.9769",positive
Pelo preço está mais do que ótimo A costura e detalhes sao bons o tamanho é bom Vieram em cores sortidas e negação repetidas São confortáveis de se enxugar,"A, está, mais","0.2846, 0.1937, 0.1745",positive
Mais uma vez a empresa falida correios falhou na entrega prejudicando assim a loja e o cliente Precisamos escolher outras formas de envio urgente,"##amos, ##ida, na","0.2141, 0.2087, 0.1939",negative
adorei,"##rei, ado","0.2644, 0.0189",positive
Bom mas parece ser muito áspero pode machucar um bebê,"mas, ##pero, pode","0.33, 0.2707, 0.2106",negative
Muito bom o produto e me entregaram antes do prazo,"bom, o, do","0.2134, 0.1922, 0.1122",positive
eu recebi a chopeira na quinta feira na sexta feira testei ela a torneira está vazando e estufou a madeira embaixo como faço,"##ando, ##fo, ##i","0.7017, 0.4836, 0.4177",positive
Muito bom,"bom, Muito","0.2464, 0.0155",positive
Tudo certo na entrega é produto muito bom recomendo,"na, certo, recomend","0.2431, 0.2217, 0.1583",positive
Entregou dentro do prazo e o produto correspondeu as minhas expectativas muito lindo ficou ótimo na minha sala rs,"na, ##s, ##do","0.1496, 0.0969, 0.0947",positive
Me sinto lesado pois comprei uma cascata e recebi outra é isso é propaganda enganosa você coloca uma foto de um cascata e entrega outra quero o devolver ou troca pela a que comprei ou meu dinheiro de,"##ado, ##osa, les","0.1136, 0.091, 0.0659",negative
Lavabo bem bonito e igual a descrição veio com uma mancha bem pequena mas nada que seja um problema recomendo,"##ha, com, ##bo","0.3588, 0.2262, 0.2108",positive
Chegou antes até do prazo,"antes, até, do","0.4359, 0.4112, 0.2778",positive
Muito bom produto recomendo,"bom, produto, recomend","0.1829, 0.1654, 0.1587",positive
OTIMO,"##M, ##TI, ##O","0.5671, 0.2471, 0.2367",positive
O produto negação é original negação consigo usar ele carrega e quando vou usá lo está descarregado Horrível o produto,"o, ##rível, é","0.1195, 0.0844, 0.0844",negative
Linda bolsa,"bolsa, Linda","0.451, 0.0349",positive
Muito bom confiavel,"##vel, bom, confia","0.3717, 0.3522, 0.3359",positive
Ótimo produto eu recomendo,"produto, ##timo, recomend","0.3475, 0.251, 0.2172",positive
Foi entregue bem antes da data prevista,"da, entregue, antes","0.4759, 0.4133, 0.3835",positive
bem rapido a entrega e bom comprar com vcs,"##ido, rap, comprar","0.2584, 0.2563, 0.2052",positive
Confio nas Lojas lannister Obrigado,"##io, ##do, Loja","0.4062, 0.2564, 0.1973",positive
a parte dourada do relógio veio com uma pequena mancha,"##ha, com, manc","0.3626, 0.2232, 0.206",negative
Entrega muito rápida,"rápida, ##ga, muito","1.0455, 0.8327, 0.63",positive
tudo certo produto dentro do padrao,"produto, certo, ##ra","0.3884, 0.3285, 0.2915",positive
Muito bom,"bom, Muito","0.2464, 0.0155",positive
 numero,"##o, numer","0.3877, 0.0204",positive
Mesmo com a paralisação o produto chegou antes do previsto E vieram sem nenhum problema,"##ação, com, o","0.408, 0.2284, 0.1806",positive
O produto chegou antes do prazo porém veio bem sujo e manchado,"##o, ##hado, veio","0.7363, 0.4745, 0.4551",negative
Serve direitinho no aparelho,"##e, ##nho, ##iti","0.4168, 0.3588, 0.3432",positive
 negação recebi o meu produto e gostaria de saber porque,"receb, ##i, de","0.1547, 0.1352, 0.1039",negative
nota mil entrega certa e antes do prazo parabéns lojas lannister,"mil, lojas, e","0.0948, 0.0907, 0.0788",positive
comprei uma bateria numero v xb numero e recebi uma xb numero AL de amperagem menor que a efetivamente comprada,"##gem, ##era, ##i","0.0988, 0.0974, 0.089",negative
Muito bom,"bom, Muito","0.2464, 0.0155",positive
Chegou tão rápido que nem deu tempo de receber o email confirmando o pagamento,"que, tão, deu","0.5433, 0.4009, 0.3301",positive
Muito bom o produto e o atendimento,"bom, o, e","0.2333, 0.2186, 0.0908",positive
Adorei entrega rápida e mercadoria certa,"##rei, entrega, e","0.3375, 0.2732, 0.2107",positive
O produto chegou bem antes da data prevista,"da, bem, antes","0.4393, 0.3962, 0.3209",positive
O produto esquenta bastante instruções para instalação em inglês tive dificuldades na instalação,"##nta, instruções, bastante","1.6695, 1.0027, 0.9391",positive
gostei chegou certo,"##te, ##i, certo","0.6259, 0.2865, 0.2821",positive
PRODUTO DE QUALIDADE ADOREI,"##RE, ##I, ##DO","0.3719, 0.2024, 0.1299",positive
Muito bonita,"bonita, Muito","0.2864, 0.0227",positive
O produto é inferior ao anunciado baixa qualidade,"baixa, ao, qualidade","0.3324, 0.2659, 0.1965",negative
Produto de ótima qualidade entregue dentro do prazo desejado,"qualidade, ##to, entregue","0.1284, 0.0954, 0.0889",positive
Produtos com qualidade entregues antes do prazo,"entregues, ##tos, antes","0.1594, 0.159, 0.144",positive
Ainda esta no prazo para entrega,"esta, para, no","0.5181, 0.4585, 0.4208",negative
A entrega foi rápida e o produto é muito bom,"e, bom, foi","0.3748, 0.2271, 0.2231",positive
Tudo certo Obrigado,"certo, Ob, ##do","0.2751, 0.2564, 0.1817",positive
O PRODUTO CHEGOU TODO AMASSADO TÃO AMASSADO QUE VINCOU O ADESIVO E IMPOSSIBILITOU O USO DO PRODUTO PÉSSIMO,"##IL, ##E, AM","0.6442, 0.5374, 0.4476",negative
tudo conforme o combinado Obrigada,"o, conforme, ##da","0.2116, 0.1979, 0.185",positive
Pena que foram só seis garrafas,"que, foram, ##fas","0.5605, 0.2341, 0.2275",positive
O Aparelho é bom só faltou o fio que liga na eletricidade vc tem que comprar Paguei caro e tenho ainda que comprar fio,"só, ##tou, fal","0.1892, 0.1668, 0.1434",positive
Ainda negação recebi,"##i, receb, negação","0.5791, 0.401, 0.3014",negative
Eficiente transferência e muita informação perfeita gostei muito e vou voltar a comprar em breve muito obrigado,"##te, transferência, gos","0.1418, 0.1366, 0.1152",positive
Excelente produto entregue pela porcaria do correio brasileiro Privatização já,"do, ##ente, pela","0.7348, 0.6259, 0.536",positive
 negação recebi o produto ainda,"##i, receb, ainda","0.2212, 0.205, 0.1913",negative
Entregou em perfeito estado e antes do prazo mto bom,"estado, ##gou, ##to","0.1766, 0.1506, 0.1203",positive
Comprei numero cartuchos com o mesmo vendendor e só recebi um Sei que pode ser entregue separadamente Mas negação consigo rastrear o outro produto que negação chegou pois aparece que toda a compra foi entregue,"##r, vendendo, e","0.4194, 0.2285, 0.2011",negative
Mercadoria certa entregue no prazo combinado Grata,"##ta, entregue, no","0.3526, 0.2264, 0.2063",positive
Veio uma falsificaçao do Moto G numero plus com o lacre da caixa rompido sem manual sem termo de garantia da Motorola selos da anatel falsos IMEI clonado design do celular todo errado negação recomendo,"##o, ##ifica, ##o","0.0767, 0.0736, 0.0667",negative
Entrega feita bem antes do prazo Muito bom,"bom, ##ga, antes","0.2774, 0.1637, 0.1572",positive
Cumpriu com perfeição,"##ção, ##ri, ##mp","0.5413, 0.3373, 0.2788",positive
O relógio é lindo correspondeu as expectativas Só na hora de fazer os ajustes que achei bem difícil Precisei ir numa relojoaria para ajustarem para mim Hehehehehe,"na, ##do, ##he","0.1793, 0.1586, 0.1458",positive
Vou continuar comprando,"##ndo, compra, ##u","0.4861, 0.4053, 0.2929",positive
Produto fora da específicação,"da, ##ção, ##to","0.5854, 0.494, 0.4641",negative
Entregaram umas capas de travesseiros que negação é pedido meu Edigley Ferreira,"umas, capas, ##garam","0.4017, 0.3743, 0.3712",negative
ADORIE TUDO MUITO BOM,"##RI, ##E, M","0.239, 0.1784, 0.133",positive
Já enviei um outro email descrevendo meu descontentamento,"##ntamento, envi, meu","0.4079, 0.1773, 0.1693",negative
 negação gostei do produto Muito ruim o tecido,"##te, o, gos","0.2086, 0.2083, 0.1619",negative
Duas caixas vieram um pouco deformadas uma caixa dentro da outra negação encaixando as tampas como houve demora na entrega optei por negação efetuar a troca pelo transtorno do processo e mais demora,"##ra, ##das, do","0.2958, 0.2625, 0.2478",negative
Atendimento e compromisso com o cliente excelente sou cliente à muitos anos e nada tenho a reclamar ótimo site de compras,"##ndimento, e, site","0.0805, 0.0752, 0.0574",positive
Gostei do produto,"##te, ##i, do","0.4391, 0.2923, 0.1622",positive
O produto chegou rápido e de acordo com a descrição de venda Nada a reclamar,"a, ##r, e","0.4073, 0.2792, 0.2297",positive
Comprei solicitei informações e negação recebi Cancelei a compra duas vezes e até hoje negação tive nenhuma resposta Vou pagar e negação levar Lamentável,"##rei, solic, ##ável","0.0671, 0.0576, 0.0563",negative
Entrega rápida,"##ga, rápida, Entre","0.6806, 0.5536, 0.0615",positive
Comprei um ventilador de mesa e veio um de torre com a base quebrada,"##da, quebra, um","0.2643, 0.1502, 0.1316",negative
Entrega rápida bom serviço,"bom, serviço, ##ga","0.516, 0.4759, 0.4509",positive
Comprei a caixa de simparic com numero comprimidos e entregaram a caixa com apenas numero comprimido solicitei a troca no dia numero numero e ainda negação tive nenhum retorno,"##rei, a, de","0.076, 0.0719, 0.0561",negative
Bom mas esquenta um pouco,"mas, ##nta, um","0.3224, 0.3046, 0.263",negative
O produto é nota numero,"numer, é, nota","0.6632, 0.3871, 0.3142",positive
eu gostei do produto atendeu ao que o vendedor dizia,"##te, gos, ##u","0.2099, 0.121, 0.1198",positive
Comprei e até agora nada de chegar prazo pro dia numero e até agora nem sinal,"##rei, e, de","0.0917, 0.0714, 0.0672",negative
Superou minhas perspectivas a entrega foi bem antes do prazo estipulado na compra,"##pula, ##ou, do","0.3662, 0.3627, 0.275",positive
Produto muito bonito de excelente qualidade e o melhor recebi muito antes do prazo estabelecido,"##to, de, qualidade","0.0827, 0.0675, 0.0667",positive
Entrega antes do previsto,"##ga, do, antes","0.3621, 0.3322, 0.2898",positive
O pedido chegou porém veio faltando um item,"##ndo, veio, falta","0.3502, 0.3283, 0.3145",negative
Entrega muito rápida recebir antes da data de entrega amei meu produto chegou em perfeito estado parabéns,"##ga, ##i, receb","0.0674, 0.0495, 0.0485",positive
Ótimo produto,"produto, ##timo, Ó","0.4549, 0.3092, 0.0257",positive
Pedido entregue incompleto Solicitado numero faixas Recebido somente numero Como proceder,"##leto, Sol, incomp","0.1431, 0.1325, 0.1117",negative
 numero Estrelas,"##o, Estrelas, numer","0.8108, 0.3988, 0.0622",positive
As bolsas são muito bonitas mas verificando a costura acredito que negação será muito resistente para o uso no dia a dia Mas atendera minhas necessidades no momento,"##s, para, ##ndo","0.3715, 0.1867, 0.1603",negative
Apesar de ter recebido o produto errado recomendo O produto negação tem a memoria informada Mas como estou precisando vou ficar com esse mesmo,"recomend, de, ##o","0.5129, 0.3803, 0.3374",positive
Eu recebi o produto sem o Pistão da cadeira abri uma solicitação de devolução e foi cancelada pelo vendedor loja sem nenhum motivo e vou ficar no prejuízo pois negação fui atendido,"e, fu, motivo","3.8833, 2.2323, 1.5698",negative
Dentro do prazo e bem embalado,"do, ##ado, e","0.6618, 0.5537, 0.4394",positive
Material bom negação tenho do que reclamar Super recomendo,"##ial, negação, bom","0.3313, 0.3189, 0.264",positive
Então a minha HP DeskJet Ink Advantage numero negação imprimi com esses cartuchos ela imprime a página de teste mas depois disso ela bloqueia por isso decidi solicitar devolver o produto,"##ver, a, o","0.3555, 0.1436, 0.1373",negative
Produto entregue conforme anunciado,"anunciado, conforme, ##to","0.3034, 0.2684, 0.2141",positive
A caixa veio com a ponta um pouco amassada mas acredito que negação tenha atingido o produto Entrega dentro do prazo Gostei Se continuar assim recomendarei mais e mais,"##te, ##i, o","0.264, 0.1858, 0.1412",positive
Simplesmente adorei meu produto,"##les, ##rei, ##mente","0.1421, 0.1343, 0.1164",positive
demorou no correio para entregar,"no, ##io, para","1.0764, 0.3532, 0.2568",negative
Prazo correto mercadoria certa bom atendimento,"bom, ##ia, mercador","0.2923, 0.2904, 0.2864",positive
JÁ PASSOU DO PRAZO DE ENTREGA,"##O, ##O, ##GA","0.4697, 0.4169, 0.3831",negative
bom,bom,0.0152,positive
Compra super tranquila preço bom e entrega antes do prazo,"e, ##a, bom","0.2581, 0.2316, 0.1891",positive
Bom,Bom,0.0131,positive
Material muito fraco,"##ial, fraco, muito","0.6378, 0.5089, 0.4662",negative
Ainda em fase experimental porém já sinto efeitos dele negação ando mais cansado,"##sado, dele, efeitos","0.3379, 0.3323, 0.3069",positive
Comprei a base dermacol cor numero pela cor mostrada nas imagens dá para ver um bege claro porém a cor que chegou é outra Ou o site esta mostrando as cores erradas ou é defeito de fabrica,"é, Ou, o","0.1467, 0.1396, 0.1388",negative
O produto é ótimo o esperado A loja super rápida sem enrolação para entregar Gostei,"sem, ##ção, o","0.3561, 0.3005, 0.2993",positive
Fiz o pedido de produtos e foram entregue apenas parte deles,"##z, parte, apenas","0.1003, 0.0933, 0.092",negative
O PRAZO DEVERIA SER MENOR TEM LOJAS QUE ENTREGAM EM numero DIAS,"##O, ##OR, ##ER","0.3087, 0.2992, 0.2342",positive
Produto entregue antes do prazo original e bem embalado Estou apaixonada pelo meu relógio novo,"pelo, original, ##to","0.1824, 0.0931, 0.0927",positive
FICAMOS ESPERANDO UMA ENCOMENDA PAGA QUE NUNCA CHEGOU E AINDA negação FOI EXTORNADO O VALOR DA COMPRA,"F, ##ER, ##CA","0.1628, 0.1465, 0.0924",negative
só negação curti muito o produto ja q comprar pela internet mtas vezes o produto parece ser uma coisa e é bem diferente kkkkk,"cur, ##ti, muito","0.3864, 0.3693, 0.3207",positive
Produto veio certo como vi na foto e chegou antes do prazo Gostei bastante,"##te, ##i, do","0.2169, 0.1484, 0.1209",positive
Excelente,"##ente, Excel","0.384, 0.0447",positive
Só negação acho justo pagar Entrega e ter que me descolar até a agência do correio para retirar o produto,"negação, acho, pagar","0.3235, 0.2757, 0.2445",negative
Produto chegou no prazo como combinado e sem problemas ou avarias Eficiente,"no, como, ##to","0.3072, 0.1258, 0.1235",positive
Estou muito satisfeita a rapidez que chegou o produto bem antes do previsto,"##eita, satisf, ##idez","0.2021, 0.1193, 0.1108",positive
Entrega rápida,"##ga, rápida, Entre","0.6806, 0.5536, 0.0615",positive
Recebi dentro do prazo porém negação gostei do acabamento da cortina,"##te, ##bi, gos","0.2629, 0.2126, 0.1994",negative
Preciso que reevie o produto pelos correios novamente para mim por favor pois já paguei o produto E negação recebi o produto,"##o, ##ev, receb","0.1727, 0.1595, 0.1482",negative
,,,positive
Comprei numero mini transformadores há vários dias já passou o prazo de entrega e ainda negação recebi os produtos que comprei Absurdo Estou precisando muito dos produtos e ainda negação os recebi,"já, ##do, de","0.0756, 0.0726, 0.0541",negative
O produto chegou quebrado quero por favor meu dinheiro de volta e o que faço para devolver o produto,"quero, ##ver, quebrado","0.1497, 0.1182, 0.1061",negative
Pela segunda vez eu faço a compra com vcs espetáculo de bom,"de, espetáculo, bom","0.5054, 0.2042, 0.1883",positive
Seriedade é a palavra que define lannister em tudo que comprei,"é, lan, ##ter","0.4857, 0.3112, 0.2622",positive
POR GENTILEZA QUERO MEU DINHEIRO DE VOLTA TEM QUE VISTA QUE O PRODUTO negação CHEGOU COMO IMAGINEI,"##A, ##TA, C","0.3814, 0.3561, 0.3231",negative
produto muito bom,"bom, muito, produto","0.4081, 0.3821, 0.0392",positive
 negação recebi o produto,"receb, ##i, o","0.2117, 0.1921, 0.1435",negative
Mais de mês que comprei e negação tive nenhum retorno,"retorno, de, que","0.0948, 0.0921, 0.0882",negative
Excelente tanto o produto quanto a entrega Apresentei minha sobrinha numero anos e ela adorou,"##ente, tanto, ##rou","0.2189, 0.1164, 0.0896",positive
Boa tarde Gostei muito do serviço e espero ser atendida bem assim na próxima compra,"##te, ##o, ##dida","0.1333, 0.1041, 0.0977",positive
O atendimento foi muito bom,"bom, foi, muito","0.3681, 0.2781, 0.242",positive
Ótimo de confiança pode comprar chegou muito rápido,"de, ##timo, pode","0.1738, 0.1532, 0.1049",positive
produto improprio para consumo pois está mofado,"##do, ##pri, ##fa","0.9004, 0.6448, 0.5212",negative
OBRIGADO,"##AD, ##IG, ##O","0.3348, 0.2588, 0.1854",positive
,,,positive
muita demora para entregar um produto tão pequeno,"##ra, demo, um","0.2646, 0.2294, 0.1533",negative
Gostei muito,"##te, ##i, muito","0.4286, 0.2968, 0.2926",positive
Tive que ir buscar no correio Paguei frete p entregar na minha residência,"##io, ##ve, no","0.3644, 0.3643, 0.3092",negative
Excelente produto,"##ente, produto, Excel","0.3821, 0.2627, 0.025",positive
Rapido,"##ido, Rap","0.5413, 0.036",positive
Solicitei a troca do tapete antes da entrega Porém era para na entrega eu negação receber e o meu condomínio recebeu O produto negação foi aberto e preciso fazer a troca por um tapete numero x numero Estou aguardando,"##ndo, e, foi","0.2249, 0.1935, 0.1507",negative
Muito bom,"bom, Muito","0.2464, 0.0155",positive
Entregue dentro do prazo e inteiro,"##gue, dentro, do","0.4159, 0.3782, 0.2685",positive
Quero o valor de volta,"##o, de, o","0.3347, 0.2896, 0.1557",negative
sempre compro no baratheon porem quando se tratam de produtos que eles vendem mas negação são entregues por eles nem sempre da tudo certo enfim recomendo o baratheon mas voces podem melhorar isso,"recomend, isso, da","0.5086, 0.4957, 0.4369",negative
Cancelaram meu pedido por falta de mercadoria e ate agora negação fui reembolsado,"##sado, ##cel, ##ia","0.1067, 0.0859, 0.0842",negative
Chegou antes do esperado,"antes, esperado, do","0.6072, 0.4038, 0.3141",positive
RECEBI O PRODUTO E AO VERIFICAR CONSTATEI QUE O PRODUTO ERA TOTALMENTE DIFERENTE DAQUELE QUE EFETUEI A COMPRA SOLICITEI A DEVOLUÇÃO E O ENVIO DO PRODUTO CORRETO E ATÉ AGORA negação OBTIVE RESPOSTA,"O, ##OS, ##IV","0.0663, 0.0421, 0.0418",negative
 negação foi entregue o produto que solicitei Entrei em contato com as lannister e estou aguardando retorno para a troca pelo produto correto porém ainda negação tive retorno das lannister e já está fora d,"o, foi, d","0.1138, 0.0933, 0.0855",negative
Tudo que combinamos preço prazo de entrega e produto pedido de vossa parte e de minha o pagamento foram cumpridos nestas condições negação há como negação dar certo uma transação comercial,"##mos, dar, que","0.7412, 0.6508, 0.5442",positive
Recomendo sem restrições,"##ndo, ##ome, restrições","0.1714, 0.1673, 0.162",positive
Sem manual ou embalagem enrolado apenas em plástico bolha Mas pelo menos chegou intacto Veremos nos próximos produtos,"##cto, inta, chegou","0.2463, 0.2053, 0.2009",positive
Tudo certo,"certo, Tudo","0.5249, 0.046",positive
Prazo de entrega cumprido,"##do, de, cumpri","0.9863, 0.4392, 0.4235",positive
Excelente o produto recomendo a todos,"##ente, o, ##o","0.2493, 0.1508, 0.0855",positive
DEMOROU MUITO A ENTREGA,"M, ##U, ##M","0.4875, 0.4302, 0.3369",negative
Os produtos foram bem embalados corretos e a entrega dentro do prazo,"##s, ##ados, do","0.3132, 0.2785, 0.2653",positive
Eu comprei o relogio e c numero dias parou de funcionar como faço p fazer troca,"##i, de, ##og","0.2386, 0.2248, 0.2062",negative
 negação compro mais nada do baratheon,"mais, compro, do","0.8531, 0.5163, 0.426",negative
eu recomendo entrega chegou antes do prazo muito bom gostei,"##te, gos, ##o","0.2201, 0.1473, 0.116",positive
Ótimo produto,"produto, ##timo, Ó","0.4549, 0.3092, 0.0257",positive
Nada a reclamar,"##r, a, reclama","0.5442, 0.3986, 0.1936",positive
acho que a cor veio errada,"##rada, que, er","0.3368, 0.3229, 0.2801",negative
Péssima mercadoria uma das tesouras veio impenada e cega negação devolverei pois sei que será um processo demorado Ficarei porém muito insatisfeito,"##s, ##vere, ##eito","0.0965, 0.0946, 0.0871",negative
Tudo certinho chegou no prazo,"##tinho, no, chegou","0.3652, 0.3559, 0.3402",positive
O quadro é bem bonito só parecia maior,"maior, só, parecia","0.8544, 0.5657, 0.4587",positive
O controle remoto do play numero negação é Sonic como anunciado negação veio o suporte pra deixar o aparelho em pé como na ilusão e a garantia de numero dias oque é Isso A garantia tem que ser de um ano,"##ão, de, veio","0.2293, 0.2083, 0.1833",negative
É original mesmo Funciona muito bem Tudo ótimo,"mesmo, ótimo, ##ion","0.2121, 0.1706, 0.1389",positive
Chegou bem antes do prazo é o produto é de excelente qualidade,"bem, do, antes","0.0823, 0.0651, 0.062",positive
ainda negação recebi o produto estou preocupada,"##da, preocupa, receb","0.6907, 0.3115, 0.2607",negative
As vezes encontro problemas com os parceiros do stark que prometem uma data de entrega e negação cumprem mas nesse caso a targaryen está de parabéns Recebi a encomenda antes do prazo prometido,"Rece, com, ##éns","0.2644, 0.2394, 0.233",positive
Ótimo,"##timo, Ó","0.4036, 0.036",positive
Bom dia Paguei por DUAS toalhas e so recebi UMA toalha A loja vai me devolver o dinheiro Aguardo retorno urgente,"dia, ##ver, receb","0.1604, 0.1368, 0.1066",negative
Produto chegou bem antes do prazo estipulado mas tive que ir retirar o produto pois negação era entregue pela transportadora,"tiv, ##e, o","0.3544, 0.3437, 0.2912",positive
Excelente,"##ente, Excel","0.384, 0.0447",positive
Produto entregue embalado tudo certo Chegou antes do prazo Boa qualidade Deu perfeito na minha King Gostei demais,"##te, ##i, qualidade","0.1283, 0.0909, 0.0825",positive
EXCELENTE PRODUTO ATENDIMENTO E ENTREGA ANTES DO PRAZO,"##TE, ##S, ##L","0.2304, 0.1594, 0.1435",positive
O pruduto chegou no prazo certo adorei Recomendo,"##rei, ado, Rec","0.1495, 0.1265, 0.1144",positive
Totalmente fora do prazo negação entregaram meu produto ainda,"##mente, do, ##am","0.1086, 0.0829, 0.0694",negative
Entrega antes do previsto,"##ga, do, antes","0.3621, 0.3322, 0.2898",positive
Adorei perfeito lindo,"##rei, lin, perfeito","0.1712, 0.165, 0.1558",positive
produto lindo qualidade e preço excelentes Entrega antes do prazo previsto,"excelentes, Entre, lin","0.0992, 0.093, 0.0882",positive
Produto bonito entregue bem valado e dentro do prazo Recomendo,"val, bem, do","0.4067, 0.3863, 0.3758",positive
Cade o produto que comprei,"##e, o, produto","1.1458, 0.4609, 0.4168",negative
Comprei numero controle remoto e cobrou frete nos numero poderia ter cobrado so numero frete mais os produtos são bons,"##rou, numer, ter","0.4945, 0.3218, 0.3005",negative
Gostei do produto mas a entrega pelo correio é ruim Deveria ter entregadores próprios,"##te, Deve, ##i","0.2625, 0.1893, 0.1874",positive
site muito bom recomendo,"recomend, ##o, bom","0.2819, 0.1929, 0.1664",positive
Excelente,"##ente, Excel","0.384, 0.0447",positive
Vendedor negação tem controle de estoque,"de, ##de, tem","0.5279, 0.5276, 0.4873",negative
Excelente,"##ente, Excel","0.384, 0.0447",positive
chegou rapido gostei muito de otima qualidade vvrecomendo,"##ndo, ##te, rap","0.4626, 0.2535, 0.1671",positive
O travesseiro tem excelente qualidade,"qualidade, ##eiro, tem","0.3069, 0.1989, 0.1323",positive
Indo a todos foi conforme eu esperava entrega rápida super indocado,"eu, entrega, ##cado","0.2301, 0.1974, 0.174",positive
Recomendado,"##ndado, ##ome, Rec","0.3718, 0.3363, 0.0294",positive
Produto está soltando muito pelos é normal,"##tando, ##to, é","0.2705, 0.2247, 0.1738",negative
Ainda negação recebi o produto negação tenho como avaliar a aquisição,"##i, receb, a","0.1678, 0.1435, 0.1344",negative
Gostei pena que negação vou poder usar agora pq minha bb só tem um mês e as perninhas dela negação abre muito na minha cintura mas o produr bom,"##te, ##i, que","0.246, 0.1981, 0.1942",positive
Eu a inda negação resebir a minha encomenda mais recomendo sim,"##o, mais, res","0.7881, 0.6889, 0.6096",negative
Muito bom,"bom, Muito","0.2464, 0.0155",positive
Pedi o Pure Seduction e veio o Love Spell,"##i, o, Spe","1.4132, 0.6368, 0.5535",negative
Satisfeito,"##eito, ##isf, Sat","0.6309, 0.4359, 0.0441",positive
Excelente loja a entrega foi rápida e o produto também é de excelente qualidade Pretendo comprar novamente,"##ente, loja, qualidade","0.1546, 0.0955, 0.0633",positive
show de bola entregaram antes do prazo previsto,"entregar, de, do","0.1924, 0.1756, 0.1642",positive
Recebi o produto direito no prazo,"no, ##bi, o","0.3911, 0.2378, 0.2064",positive
Boa esperiencia,"##ien, ##cia, esper","0.4619, 0.4207, 0.3916",positive
ótima,ótima,0.0693,positive
Vcs poderiam verificar melhor o produto antes de sair pois já demora uns dias e ainda vem errado então verificar melhor a saída do produto,"do, melhor, então","0.4773, 0.2319, 0.2314",negative
Gostei muito da loja recomendo,"##te, ##o, ##i","0.1726, 0.1269, 0.1194",positive
Muito bom recomendo,"bom, recomend, ##o","0.1942, 0.1797, 0.1681",positive
O cartucho veio com problema foi testado e jogado fora negação recomendo compra de cartucho hp,"##o, recomend, foi","0.4166, 0.3895, 0.2641",negative
Vendedor super atencioso Produto chegou quase numero dias antes do prazo Dentro das expectativas,"das, ##o, numer","0.137, 0.1073, 0.1062",positive
Confiável veio no prazo Adorei,"##rei, ##vel, ##iá","0.2116, 0.1965, 0.1812",positive
 negação recebi a mercadoria mandei um e mail para empresa pois estava com problema de entrega mas negação recebi nenhuma resposta,"##i, receb, ##ia","0.1191, 0.1026, 0.0854",negative
O produto está sendo oferecido pela lannister mas quando realizei a compra a mesma foi cancelada por negação existir o produto,"por, existir, o","0.2539, 0.1887, 0.1674",negative
Muy buena,"##ena, ##y, bu","0.526, 0.4816, 0.3427",positive
